smiles_key,SMILES,HOMO,LUMO,Gap,HOMO(eV),LUMO(eV),Gap(eV)
gdb 6,C=O,-0.267,-0.0406,0.2263,-7.26544006734,-1.1047822724119998,6.157936656326
gdb 11,CC=O,-0.254,-0.0198,0.2342,-6.91169204908,-0.5387854431960001,6.372906605883999
gdb 18,CC(C)=O,-0.2431,-0.0087,0.2344,-6.615087941462,-0.2367390583739999,6.378348883088
gdb 23,C#CC#C,-0.2599,-0.0214,0.2386,-7.0722392265980005,-0.5823236608279999,6.492636704372
gdb 24,C#CC#N,-0.3102,-0.0543,0.2559,-8.440971943404,-1.477578260886,6.963393682518
gdb 25,N#CC#N,-0.3696,-0.0926,0.277,-10.057328272992,-2.519774345452,7.53755392754
gdb 26,O=CC#C,-0.2777,-0.0735,0.2042,-7.556601897754,-2.00003687247,5.556565025284
gdb 27,O=CC#N,-0.3166,-0.11,0.2066,-8.615124813931999,-2.9932524622,5.621872351732
gdb 28,O=CC=O,-0.2668,-0.1113,0.1555,-7.259997790135999,-3.028627264026,4.23137052611
gdb 35,CCC=O,-0.25,-0.0205,0.2295,-6.802846505,-0.55783341341,6.24501309159
